店铺名称,来源,类型
 ANTA,stores_202510241428,独有
 BOSIDENG,stores_202510241428,独有
 CALLISTO,stores_202510241428,独有
 CONVERSE,stores_202510241428,独有
 Cabbeen,stores_202510241428,独有
 Inis Palliser-暂不用,stores_202510241428,独有
 M-STAND,stores_202510241428,独有
 MARYKKI,stores_202510241428,独有
 NIKE,stores_202510241428,独有
 Timberland,stores_202510241428,独有
 VANS,stores_202510241428,独有
 凤生仔-顺德干蒸饭,stores_202510241428,独有
13DE MARZO,stores_202510241428,独有
2平米（5F）,stores_202510241428,独有
3CE,stores_202510241428,独有
7-11,stores_202510241428,独有
98美甲美睫,stores_202510241428,独有
@KB SPACE,stores_202510241428,独有
ACMEITEM,stores_202510241428,独有
ADIDAS,stores_202510241428,独有
AGETE,stores_202510241428,独有
AIMER-KIDS-新,stores_202510241428,独有
AIR JORDAN,stores_202510241428,独有
ANTA KIDS	 L5_S38+S39+S40+S41,stores_202510241428,独有
ANYSPOOR,stores_202510241428,独有
APM Monaco,stores_202510241428,独有
ARIOSEYEARS,stores_202510241428,独有
ASICS,stores_202510241428,独有
Acqua di Parma,stores_202510241428,独有
Amazing Song,stores_202510241428,独有
BADINA CHIC,stores_202510241428,独有
BAIZHUO-L333,stores_202510241428,独有
BELLE-L3_S05,stores_202510241428,独有
BLANCORE,stores_202510241428,独有
BOLON,stores_202510241428,独有
BOSS  SUNWEN,stores_202510241428,独有
BOY LONDON,stores_202510241428,独有
BVLGARI BEAUTY,stores_202510241428,独有
Bally,stores_202510241428,独有
Biotherm,stores_202510241428,独有
Birkenstock,stores_202510241428,独有
Breo,stores_202510241428,独有
CAN,stores_202510241428,独有
CASIO （LB-K63）,stores_202510241428,独有
CGV影城,stores_202510241428,独有
CHOCHOSROOM,stores_202510241428,独有
COACH,stores_202510241428,独有
COFANCY,stores_202510241428,独有
COLUMBIA,stores_202510241428,独有
COODOO,stores_202510241428,独有
COVEN GARDEN（新）,stores_202510241428,独有
COVER蔻弗,stores_202510241428,独有
CPB,stores_202510241428,独有
CROCS-LB24,stores_202510241428,独有
Calvin Klein Jeans,stores_202510241428,独有
Cartier ,stores_202510241428,独有
CellCare,stores_202510241428,独有
Champion,stores_202510241428,独有
Charles&Keith,stores_202510241428,独有
DESCENTE,stores_202510241428,独有
DESIGNICE+,stores_202510241428,独有
DIANA,stores_202510241428,独有
DISSONA(新),stores_202510241428,独有
DOMIAMIA,stores_202510241428,独有
DR-L232,stores_202510241428,独有
DR-L232A,stores_202510241428,独有
DR-L232B,stores_202510241428,独有
DR.KONG(5F),stores_202510241428,独有
DR.KONG-新,stores_202510241428,独有
DistinKidny,stores_202510241428,独有
DysonLB13,stores_202510241428,独有
E.LAND,stores_202510241428,独有
E.LAND KIDS(5F),stores_202510241428,独有
EAU FLORA,stores_202510241428,独有
EA表,stores_202510241428,独有
ECCO-L208,stores_202510241428,独有
ENICAR,stores_202510241428,独有
EVISU,stores_202510241428,独有
FILA,stores_202510241428,独有
FILA KIDS (5F),stores_202510241428,独有
FLORA STAR,stores_202510241428,独有
FOS,stores_202510241428,独有
FUN,stores_202510241428,独有
Fjallraven,stores_202510241428,独有
GELATO PIQUE,stores_202510241428,独有
GGCC,stores_202510241428,独有
GLITTERISH,stores_202510241428,独有
GOTO,stores_202510241428,独有
GXG,stores_202510241428,独有
Game Point,stores_202510241428,独有
