id,store_id,third_id,third_id2,place_id,contract_no,store_name,brand,business_time,phone_number,node_id,floor,logo,description,store_images,address,commercial,sub_commercial,score,cuisine,crowd,number,cost,taste,spiciness_level,facilities,environment,service,queue,highlights,other,note,created_at,updated_at,store_type,purchase,famous,is_active,categories,brand_id
282,83803,2012503000249,NULL,801,test,薛记炒货,薛记炒货,10:00-22:00,15136432871,9VVYIav625,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/eb024c6bfa234840b33f9711f74a917f_%E6%AD%A3%E5%BC%98%E5%95%86%E5%9C%BALOGO.jpg,"😍宝子们，一定要来薛记炒货呀！

🥜他家主打各种炒货，坚果、果脯、炒货零食超丰富。店铺风格简约明亮，一进去就能看到满满当当的美味。

🌰人气单品那可太多啦，像奶香核桃，又香又脆，奶香味超浓郁；还有蟹黄味瓜子仁，咸香上头，一口一个根本停不下来。

🤗适合人群超广，追剧的时候来一包，嘴巴根本闲不下来；上班、上学带几包，随时补充能量。无论是自己吃还是送人，薛记炒货都超合适，每次路过我都得进去囤点！","["https://robot-vr-public.bj.bcebos.com/store_pic/薛记炒货.jpeg"]",郑州正弘城B1,餐饮美食,其他美食,4.3,干果,"朋友,一个人",1-2人,¥44/人,"甜,咸",不辣,"有停车场,有WIFI","复古风,热闹","纸巾提供,可带宠物",,收录3年,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=薛记炒货 end_position=9VVYIav625 ](薛记炒货) [phone data=15136432871]()超丰富炒货零食，追剧必备！** 
   **📍 亮点**：复古风环境，炒货坚果多，收录3年超靠谱
   **💡 小贴士**：本店铺可提供纸巾，还能带着宠物一起享受美食哦~
   **🌟 好搭档**：[nav type=ar place_id=801 floor=B1 end_name=茉莉奶白 end_position=5gWYczuQfl ](茉莉奶白) 茉莉奶白的创意茶饮与炒货搭配，清爽茶香能中和炒货的油腻感，口感更丰富。
   [store_data place_id=801 store_id=83803]()","2025-06-22 19:13:31","2025-09-23 16:44:16",,0,0,1,NULL,NULL
283,83833,2012501000166,NULL,801,test,福前小酥肉,福前小酥肉,10:00-22:00,"185 3982 1818",Q5MXvorUca,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/574c82e5ca014835a8c126f0c10d992f_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220715153921.jpg," 一口酥肉，一口福！这家宝藏小酥肉店必须安利🎉
🌮店名：福前小酥肉
📍位置：[具体地址]

一进店，就能闻到酥肉的香气，简直太诱人啦😍！店铺装修很有特色，满满的国潮风，让人眼前一亮✨。

他家主打小酥肉，现点现炸，出锅的酥肉金黄酥脆，咬一口“嘎吱”响，肉嫩多汁，撒上调料，味道绝绝子👍！还有多种口味可选，满足不同味蕾~无论是逛街累了来一份，还是追剧时当零食，都超合适😋。不管是小吃货还是打工人，福前小酥肉都能给你带来满满的幸福感，快来尝尝吧🥰！ ","["https://robot-vr-public.bj.bcebos.com/store_pic/福前小酥肉.jpeg"]",郑州正弘城B1,餐饮美食,小吃快餐,4.2,西北菜,"情侣,朋友,孩子","1-2人,3-4人",¥16/人,"咸,辣",微辣,"有停车场,有WIFI","复古风,热闹","纸巾提供,可带宠物",,收录5年,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=福前小酥肉 end_position=Q5MXvorUca ](福前小酥肉) [phone data=185 3982 1818]()超香西北小酥肉，一口就爱住！** 
   **📍 亮点**：国潮复古风，小酥肉现点现炸，收录5年宝藏店
   **💡 小贴士**：本店铺可带宠物，还提供纸巾哦~
   **🌟 好搭档**：[nav type=ar place_id=801 floor=L3 end_name=奇檬子 end_position=vSHdN1l7xR ](奇檬子) 奇檬子的创意奶茶与小酥肉搭配，酸甜口感能中和小酥肉的油腻，解腻又爽口。
   [store_data place_id=801 store_id=83833]()","2025-06-22 19:13:32","2025-10-15 03:44:10",,0,0,1,NULL,NULL
284,83835,2012107200005,NULL,801,test,薇薇安,薇薇安,10:00-22:00,13015533079（杨梦杰）、13121864625,fhhbEBfW3c,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/1d99a31a6dc84e959d2e1b85aef98daa_dd9040f989d2c3fe497623b9d833f48d.jpeg,"从海南火到全国的「千层蛋糕天花板」，靠泰国金枕榴莲千层和海南凯特芒果千层圈粉无数！每层1mm超薄蛋皮+爆浆果肉，挖一勺直接视觉暴击💥 隐藏玩法：冷冻2小时变冰淇淋蛋糕，咸奶油奥利奥款甜咸党必冲！小红书博主狂晒“厚度对比图”，配文“这果肉含量是真实存在的吗？！” 进店暗号“小红书来的”送迷你试吃装，生日福利送「榴莲抱抱桶」~ 从微商起家到全国连锁，薇薇安用实在用料成为甜品界内卷之王！","["https://robot-vr-public.bj.bcebos.com/store_pic/薇薇安.jpeg"]",郑州正弘城B1,餐饮美食,面包甜点,4.2,"甜品饮品 奶茶","情侣,家人,朋友","1-2人,3-4人",¥38/人,"甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","现代简约,花园风,靠窗","纸巾提供,儿童餐具",,经三路沿线面包甜点热门榜·第一名,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=薇薇安 end_position=fhhbEBfW3c ](薇薇安) [phone data=13015533079（杨梦杰）、13121864625]()从海南火到全国的千层蛋糕天花板，谁能不爱！** 
   **📍 亮点**：每层1mm超薄蛋皮，爆浆果肉，冷冻后变冰淇淋蛋糕
   **💡 小贴士**：进店暗号“小红书来的”送迷你试吃装，生日福利送「榴莲抱抱桶」~
   [store_data place_id=801 store_id=83835]()","2025-06-22 19:13:32","2025-09-23 16:44:38",,0,0,1,NULL,NULL
285,83836,2012411000119,1632203758832586752,801,test,徐叨叨,徐叨叨,10:00-22:00,13526853526,NaiZIxA92P,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/feceba27e4f14ae7b8b8236f85406721_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220715153921.jpg,"🍜徐叨叨小吃｜社畜の深夜味蕾觉醒！川豫混血面条暴击碳水脑
真实背景核验：
河南本土爆款小吃，创始人徐叨叨曾任川菜厨师，2023年自创“烩面×川味红油”配方抖音出圈，洛阳3家直营店稳居大众点评面馆热门榜TOP3，获河南电视台《香香美食》专题报道（2023.11.19）。
灵魂暴击三件套：
🔥 甩锅烩面——
▫️ 混血基因：河南手扯裤带面+川式㸆辣椒油，浇头塞满卤牛腱+溏心蛋
▫️ 名场面：店员甩面入锅喊“甲方甩锅？俺把锅气甩回去！”
🔥 KPI煎饼——
▫️ 杂粮脆皮卷肥肠荆芥，刷秘制腐乳辣酱，夜班党称“续命弹药库”
🔥 摸鱼豆腐串——
▫️ 洛阳高碑豆腐冷热两吃，芝麻酱拌油泼辣子蘸汁，香到摸鱼被逮也不撒手","["https://robot-vr-public.bj.bcebos.com/store_pic/徐叨叨.jpeg"]",郑州正弘城B1,餐饮美食,小吃快餐,4.2,小面,"朋友,同事,一个人",1-2人,¥20/人,"咸鲜,甜咸,酸辣",微辣,"有停车场,有WIFI","中式典雅,有卡座,明亮","扫码点餐,纸巾提供",,金水万达/蓝堡湾小吃快餐好评榜·第四名,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=徐叨叨 end_position=NaiZIxA92P ](徐叨叨) [phone data=13526853526]()河南本土爆款小吃，独特川豫风味等你来尝！** 
   **📍 亮点**：川豫混血面条，甩面表演，特色小吃丰富
   **💡 小贴士**：本店铺有停车场和WIFI，还提供纸巾哦~
   **🌟 好搭档**：[nav type=ar place_id=801 floor=B1 end_name=VOLAGELATAO end_position=UtWJlbm6j4 ](VOLAGELATAO) VOLAGELATAO的冰淇淋与小面搭配，清爽冰感能中和小面辣感，让你吃辣后享受冰爽，体验更美妙。
   [store_data place_id=801 store_id=83836]()","2025-06-22 19:13:32","2025-10-22 09:08:57",,1,1,0,NULL,NULL
286,83842,2011805300005,1132031823854047232,801,test,热热热干面,热热凉凉热干面凉面,10:00-22:00,15038185226,e2nui2RdgV,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/86c602ce99a94971bddf7e810b5f3ca4_c8e9632509df94358dcbadec825f26d4.jpeg,"🥢宝子们，发现一家超赞的热干面店👉热热热干面🎉！

一进店，浓郁的武汉风情装修就超吸睛😍，木质桌椅、复古招牌，满满都是烟火气🎇。】
他家主打热干面，面条劲道有嚼劲，芝麻酱香气扑鼻，每一口都超满足🤩！配菜丰富爽口，一口面一口菜，绝了👍！

无论是忙碌的上班族💼，还是爱尝鲜的吃货们😋，都超适合来这儿！吃一碗热干面，瞬间活力满满💪！宝子们一定要来试试，保证让你爱上这口热干面🥰！ ","["https://robot-vr-public.bj.bcebos.com/store_pic/热热热干面.jpeg"]",郑州正弘城B1,餐饮美食,小吃快餐,4.2,小面,"朋友,同事,一个人",1-2人,¥19/人,"咸鲜,甜咸,酸辣",微辣,"有停车场,有WIFI,商场公共卫生间","复古风,热闹","扫码点餐,纸巾提供",,郑州热干面菜品榜第10名,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=热热热干面 end_position=e2nui2RdgV ](热热热干面) [phone data=15038185226]()郑州热干面菜品榜第10名，超赞！** 
   **📍 亮点**：武汉风情装修，面条劲道，芝麻酱香，配菜丰富
   **💡 小贴士**：有停车场，可扫码点餐，还有免费纸巾哦~
   **🌟 好搭档**：[nav type=ar place_id=801 floor=B1 end_name=有堂古 end_position=EQL4nwlLYF ](有堂古) 有堂古的甘草水果与热干面搭配，清甜水果能中和热干面的微辣和咸香，清爽解腻，让用餐体验更丰富。
   [store_data place_id=801 store_id=83842]()","2025-06-22 19:13:32","2025-09-23 16:45:00",,1,0,1,NULL,NULL
287,83845,2012407000413,1141979919375536128,801,test,阿甘锅盔,阿甘锅盔,10:00-22:00,18825735726,NGJNbN0qfW,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/4d458a667f2045edbc280f9aae558005_%E9%98%BF%E7%94%98%E9%94%85%E7%9B%94.jpg," 一口酥脆，香到停不下来😋阿甘锅盔，我心中的美食宝藏！

🌮他家的锅盔种类超丰富，梅干菜、鲜肉、牛肉……每一种都香得让人疯狂！刚出锅的锅盔，外皮金黄酥脆，咬一口“嘎吱”作响，内里馅料满满，香气瞬间在嘴里爆开。

🏠店铺装修简洁明亮，开放式的制作空间，能清楚看到师傅们熟练地擀面皮、包馅料、烘烤，整个过程干净又卫生。

无论是上班途中来一个当早餐，还是逛街时买一个解馋，阿甘锅盔都超合适！宝子们一定要来尝尝，保证你吃一次就爱上💕

 美食探店 阿甘锅盔 锅盔美食 ","["https://robot-vr-public.bj.bcebos.com/store_pic/阿甘锅盔.jpeg"]",郑州正弘城B1,餐饮美食,小吃快餐,4.1,小吃快餐,"情侣,朋友,一个人",1-2人,¥10/人,"辣,咸鲜",微辣,"有停车场,有WIFI,商场公共卫生间","现代简约,有卡座,热闹",纸巾提供,,收录6年,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=阿甘锅盔 end_position=NGJNbN0qfW ](阿甘锅盔) [phone data=18825735726]()一口酥脆，香到停不下来的锅盔宝藏店！** 
   **📍 亮点**：锅盔种类丰富，外皮酥脆，馅料足，制作卫生
   **💡 小贴士**：本店铺提供纸巾，还有停车场和WIFI哦~
   **🌟 好搭档**：[nav type=ar place_id=801 floor=B1 end_name=茉酸奶 end_position=TIMUFslgeC ](茉酸奶) 茉酸奶的酸奶昔与锅盔搭配，醇厚酸奶能中和锅盔的微辣口感，清爽解腻，让你吃得更畅快。
   [store_data place_id=801 store_id=83845]()","2025-06-22 19:13:32","2025-09-23 16:45:13",,1,0,1,NULL,NULL
288,83847,2012207060002,1312846394683559937,801,test,霸王茶姬,霸王茶姬,10:00-22:00,15729382905,ql84YhxVMZ,L8,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/84dd8461e9f644f0bae3c46415bc303b_82755fe6e75c3f8e964e56f95d5644dd.jpeg,"😍宝子们，一定要来试试霸王茶姬呀！

🎀它家店铺风格超有韵味，新中式装修超吸睛。

🥤主打茶饮超绝！像伯牙绝弦，茶底清香，奶油顶细腻香甜；声声乌龙，茶香与奶香完美融合，口感层次丰富。

💃人气超高，不管是逛街累了想找个地方歇歇脚，还是和闺蜜约会，来这买杯茶饮都超合适。

🤗真的会被它家独特的茶香和用心的制作所折服，喝过一次就爱上，完全是茶饮界的宝藏店铺，适合所有爱喝茶饮的宝子们！ ","["https://robot-vr-public.bj.bcebos.com/store_pic/霸王茶姬.jpeg"]",郑州正弘城L8,餐饮美食,"奶茶,咖啡",4.6,"甜品饮品 奶茶,茶饮空间,下午茶","情侣,朋友,孩子",1-2人,¥18/人,"甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","现代简约,有卡座,明亮","纸巾提供,可带宠物",,郑州茶饮果汁打卡人气榜·第3名,,"1. **🌟 [nav type=ar place_id=801 floor=L8 end_name=霸王茶姬 end_position=ql84YhxVMZ ](霸王茶姬) [phone data=15729382905]()郑州茶饮果汁打卡人气榜第3名，宝藏茶饮店！** 
   **📍 亮点**：新中式装修，超有韵味；茶饮超绝，口感丰富
   **💡 小贴士**：本店铺可带宠物，还提供纸巾哦~
   [store_data place_id=801 store_id=83847]()","2025-06-22 19:13:32","2025-10-15 11:44:12",,1,0,0,NULL,NULL
289,83851,2012505000162,NULL,801,test,栗子来了,栗子来了,10:00-22:00,18538166169（叶棵方）,QjrNwyon3v,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/187bcc658f3e4939b83b9db9c740bfd6_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20220715153921.jpg," 🍰栗子来了 | 甜品控的宝藏小店
宝子们，一定要来这家“栗子来了”！

店里装修超温馨，满满的ins风，一进去就感觉心情超好。

他们家主打栗子系列甜品，像栗子千层，每一口都能吃到绵密栗子泥，搭配轻盈奶油，绝绝子！还有栗子蒙布朗，造型可爱，味道更是惊艳。

人气超高的单品还有栗子巴斯克，浓郁的芝士味混合着栗子香，吃一次就忘不了。

不管是下午茶想小酌，还是和姐妹聚会，这里都超合适。甜品脑袋们快来冲，保证让你满意而归！ ","["https://robot-vr-public.bj.bcebos.com/store_pic/栗子来了.jpeg"]",郑州正弘城B1,餐饮美食,其他美食,4,茶点铺,"情侣,朋友,孩子",1-2人,¥23/人,"咸鲜,甜咸",不辣,"有停车场,有WIFI,商场公共卫生间","中式典雅,靠窗,亲子友好","纸巾提供,可带宠物",,收录6年,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=栗子来了 end_position=QjrNwyon3v ](栗子来了) [phone data=18538166169]()温馨ins风茶点铺，栗子甜品超赞！** 
   **📍 亮点**：温馨ins风装修，主打栗子甜品，适合聚会 
   **💡 小贴士**: 本店铺可带宠物，还提供纸巾哦~
   [store_data place_id=801 store_id=83851]()","2025-06-22 19:13:33","2025-10-15 11:44:01",,0,0,0,NULL,NULL
290,83855,2012103310017,1145162096452046849,801,test,极拉图,极拉图·现制冰淇凌,10:00-22:00,15136725672,G4UFMD7b06,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/bccb671776e941aa9c7e11bffe99e452_6ece6667b39fc219372ef156333cc750.jpeg," 🍦极拉图 | 冰淇淋脑袋的天堂！
宝子们，发现一家超绝的冰淇淋店——极拉图！
他家装修超有特色，满满的ins风，随手一拍都很出片📸 一进店，各种高颜值的冰淇淋就像艺术品一样摆在面前，让人挑花眼😍
主打产品是意式手工冰淇淋，口味超丰富！人气单品“多肉葡萄雪泥”，葡萄味超浓郁，还能吃到真实果肉，一口下去超满足🤩
不管是小朋友还是大朋友，只要是喜欢吃冰淇淋的，来这准没错！宝子们一定要来尝尝，保证你吃一次就爱上💖","["https://robot-vr-public.bj.bcebos.com/store_pic/极拉图.jpeg"]",郑州正弘城B1,餐饮美食,奶茶,4.4,"冰淇淋,冰粉","情侣,家人,朋友",1-2人,¥14/人,"甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","现代简约,安静,明亮","扫码点餐,纸巾提供,可带宠物",,郑州冰淇凌好评榜·第1名,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=极拉图 end_position=G4UFMD7b06 ](极拉图) [phone data=15136725672]()郑州冰淇凌好评榜第1名，冰淇淋脑袋冲！** 
   **📍 亮点**：ins风装修出片，意式手工冰淇淋，口味超丰富 
   **💡 小贴士**：本店铺可带宠物，还提供纸巾哦~
   [store_data place_id=801 store_id=83855]()","2025-06-22 19:13:33","2025-09-23 16:45:41",,1,0,1,NULL,NULL
291,83858,2012307000056,NULL,801,test,一起凉皮吧,一起凉皮吧,10:00-22:00,18638798472（陈婷）,xdkblFHtpt,B1,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/92e47e2267fb4a918ee9e58ea59d8664_ec123fea8c0603e1d5fbda34ef9f0cc7.jpeg,"宝子们，今天必须给你们安利一家超绝的凉皮店——一起凉皮吧！

他家装修超有特色，简洁明亮又带着浓浓的市井气息。

主打各种口味的凉皮，每一款都堪称经典！凉皮筋道爽滑，配菜丰富爽口，酱汁浓郁超入味。人气单品麻酱凉皮，麻酱香气十足，和凉皮搭配简直绝了！不管是忙碌的上班族，还是追求美味的学生党，都超适合来这儿。吃一口他家凉皮，瞬间开启舌尖上的清爽之旅，保证让你一口接一口，根本停不下来！赶紧冲呀！ ","["https://robot-vr-public.bj.bcebos.com/store_pic/一起凉皮吧.jpeg"]",郑州正弘城B1,餐饮美食,小吃快餐,4.3,西北菜,"家人,朋友,同事",1-2人,¥14/人,"咸鲜,酸辣",微辣,"有停车场,有WIFI,商场公共卫生间","中式典雅,热闹,明亮","纸巾提供,可带宠物",,正弘中心小吃快餐打卡人气榜·第4名,,"1. **🌟 [nav type=ar place_id=801 floor=B1 end_name=一起凉皮吧 end_position=xdkblFHtpt ](一起凉皮吧) [phone data=18638798472（陈婷）]()正弘中心小吃快餐打卡人气榜第4名，凉皮超绝！** 
   **📍 亮点**：中式典雅环境，凉皮筋道，酱汁浓郁，人气超旺
   **💡 小贴士**：本店铺可带宠物，还提供纸巾哦~
   **🌟 好搭档**：[nav type=ar place_id=801 floor=B1 end_name=麦记牛奶公司 end_position=t81ZR7gYvb ](麦记牛奶公司) 麦记牛奶公司的饮品与凉皮搭配，香甜不腻，能中和凉皮的酸辣，让口感更丰富。
   [store_data place_id=801 store_id=83858]()","2025-06-22 19:13:33","2025-09-23 16:45:50",,0,0,1,NULL,NULL
