brand,name,location,view_direction,panorama_id,x,y,z,vr_link
13DEMARZO,13DE MARZO米色毛绒座椅,地面,b,1339634,0.713,-15.504,-0.083,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339634&dirx=0.713&diry=-15.504&dirz=-0.083
13DEMARZO,13DE MARZO金色/白色金属饰品,展示柜,r,1339634,2.358,-12.367,0.326,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339634&dirx=2.358&diry=-12.367&dirz=0.326
13DEMARZO,13DE MARZO银色金属首饰,首饰展示柜,r,1339635,1.702,-14.204,-0.138,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339635&dirx=1.702&diry=-14.204&dirz=-0.138
13DEMARZO,13DE MARZO黑色毛绒小熊装饰外套,移动衣架,r,1339635,3.017,-14.038,0.565,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339635&dirx=3.017&diry=-14.038&dirz=0.565
13DEMARZO,13DE MARZO黑白熊猫织物背包,墙面层架,b,1339635,0.655,-15.511,0.722,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339635&dirx=0.655&diry=-15.511&dirz=0.722
13DEMARZO,13DE MARZO米色毛绒座椅,地面中央,b,1339635,1.016,-17.219,0.11,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339635&dirx=1.016&diry=-17.219&dirz=0.11
13DEMARZO,未知品牌多色金属/宝石饰品（戒指/项链）,中央玻璃柜台,f,1339636,3.649,-19.364,0.016,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339636&dirx=3.649&diry=-19.364&dirz=0.016
13DEMARZO,13DE MARZO银色金属首饰套装,中央展示柜,f,1339637,3.402,-17.593,-0.54,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339637&dirx=3.402&diry=-17.593&dirz=-0.54
13DEMARZO,13DE MARZO多色织物毛绒玩具（柜台）,墙面下方柜台,f,1339637,3.573,-18.162,0.422,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339637&dirx=3.573&diry=-18.162&dirz=0.422
13DEMARZO,13DE MARZO多色织物帽子（柜台）,墙面下方柜台,f,1339637,3.573,-18.162,0.422,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339637&dirx=3.573&diry=-18.162&dirz=0.422
13DEMARZO,13DE MARZO米棕色织物毛绒玩具（层架）,墙面层架,r,1339637,1.202,-16.483,1.121,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339637&dirx=1.202&diry=-16.483&dirz=1.121
13DEMARZO,13DE MARZO蓝色织物帽子,墙面层架,r,1339637,1.187,-16.486,0.422,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339637&dirx=1.187&diry=-16.486&dirz=0.422
13DEMARZO,13DE MARZO白色合成革手提包,墙面层架,r,1339637,1.202,-16.483,0.801,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339637&dirx=1.202&diry=-16.483&dirz=0.801
13DEMARZO,毛绒坐具,中央地面,f,1339638,3.335,-19.321,0.39,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=3.335&diry=-19.321&dirz=0.39
13DEMARZO,毛绒坐具,中央地面,f,1339638,3.432,-19.072,0.422,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=3.432&diry=-19.072&dirz=0.422
13DEMARZO,13DE MARZO浅棕色毛绒泰迪熊,墙面层架（中层）,f,1339638,3.48,-18.048,0.738,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=3.48&diry=-18.048&dirz=0.738
13DEMARZO,13DE MARZO多色毛绒玩具,墙面层架（上层）,f,1339638,3.477,-18.033,1.072,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=3.477&diry=-18.033&dirz=1.072
13DEMARZO,蓝色织物帽子,墙面层架（下层）,f,1339638,3.473,-18.017,0.374,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=3.473&diry=-18.017&dirz=0.374
13DEMARZO,13DE MARZO多色织物帽子,墙面层架（13DE MARZO区域）,l,1339638,1.853,-20.442,0.374,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=1.853&diry=-20.442&dirz=0.374
13DEMARZO,13DE MARZO多色毛绒玩具,墙面层架（13DE MARZO区域）,l,1339638,1.853,-20.442,0.341,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=1.853&diry=-20.442&dirz=0.341
13DEMARZO,13DE MARZO银色金属饰品,柜台玻璃展柜,l,1339638,2.433,-20.251,-0.601,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=2.433&diry=-20.251&dirz=-0.601
13DEMARZO,毛绒玩具装饰画,墙面（右方向）,r,1339638,0.349,-16.851,0.69,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339638&dirx=0.349&diry=-16.851&dirz=0.69
13DEMARZO,13DE MARZO展台毛绒玩偶集合,中央展台,l,1339639,3.245,-20.694,0.504,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339639&dirx=3.245&diry=-20.694&dirz=0.504
13DEMARZO,13DE MARZO展台配饰集合（帽子/包包）,中央展台,l,1339639,3.245,-20.694,0.504,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339639&dirx=3.245&diry=-20.694&dirz=0.504
13DEMARZO,13DE MARZO玻璃展柜饰品集合,中央玻璃展柜,l,1339639,3.323,-20.702,0.246,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339639&dirx=3.323&diry=-20.702&dirz=0.246
13DEMARZO,13DE MARZO银色金属首饰,收银台玻璃柜,f,1339640,3.559,-17.018,-0.727,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=3.559&diry=-17.018&dirz=-0.727
13DEMARZO,13DE MARZO白色织物手提包（带小熊装饰）,墙面层架,b,1339640,-0.316,-16.404,1.232,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=-0.316&diry=-16.404&dirz=1.232
13DEMARZO,13DE MARZO棕色织物手提包（带小熊装饰）,墙面层架,b,1339640,-0.415,-16.783,1.166,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=-0.415&diry=-16.783&dirz=1.166
13DEMARZO,13DE MARZO银色皮革手提包,墙面层架,b,1339640,-0.316,-16.404,0.749,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=-0.316&diry=-16.404&dirz=0.749
13DEMARZO,13DE MARZO蓝色织物棒球帽（带小熊装饰）,墙面层架,b,1339640,-0.347,-16.493,0.172,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=-0.347&diry=-16.493&dirz=0.172
13DEMARZO,13DE MARZO黑色织物连帽外套（带毛绒装饰）,移动衣架,l,1339640,0.666,-18.885,0.433,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=0.666&diry=-18.885&dirz=0.433
13DEMARZO,13DE MARZO多色织物连帽卫衣,墙面衣架,r,1339640,0.839,-15.231,0.255,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339640&dirx=0.839&diry=-15.231&dirz=0.255
13DEMARZO,13DE MARZO多色金属首饰套装,收银台展示柜,f,1339641,3.257,-15.589,-0.045,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339641&dirx=3.257&diry=-15.589&dirz=-0.045
13DEMARZO,13DE MARZO黑色织物毛绒装饰外套,人形衣架,f,1339641,3.021,-16.101,0.552,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339641&dirx=3.021&diry=-16.101&dirz=0.552
13DEMARZO,13DE MARZO米黄色织物小熊造型座椅,中央区域,b,1339641,-0.24,-13.79,0.008,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339641&dirx=-0.24&diry=-13.79&dirz=0.008
13DEMARZO,13DE MARZO米黄色织物小熊造型座椅,中央区域,b,1339641,-0.501,-14.236,0.095,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339641&dirx=-0.501&diry=-14.236&dirz=0.095
13DEMARZO,13DE MARZO白色织物外套,中央展台,b,1339641,-0.469,-14.164,0.583,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339641&dirx=-0.469&diry=-14.164&dirz=0.583
13DEMARZO,棕色毛绒玩具,中央展台,r,1339642,0.62,-11.773,-0.019,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339642&dirx=0.62&diry=-11.773&dirz=-0.019
13DEMARZO,黑色皮革手提包,中央展台,r,1339642,0.45,-11.742,0.464,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339642&dirx=0.45&diry=-11.742&dirz=0.464
13DEMARZO,13DE MARZO米色毛绒泰迪熊玩偶,中央展台旁,f,1339628,4.261,-5.82,0.029,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339628&dirx=4.261&diry=-5.82&dirz=0.029
13DEMARZO,13DE MARZO米色毛绒泰迪熊玩偶（小型）,中央展台后,f,1339628,4.119,-6.349,0.266,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339628&dirx=4.119&diry=-6.349&dirz=0.266
13DEMARZO,13DE MARZO黑白毛绒熊猫玩偶,右侧墙面层架,f,1339628,3.931,-4.445,0.728,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339628&dirx=3.931&diry=-4.445&dirz=0.728
13DEMARZO,13DE MARZO米色毛绒泰迪熊玩偶（大型）,右墙拱门展示区,r,1339628,3.143,-3.767,0.602,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339628&dirx=3.143&diry=-3.767&dirz=0.602
13DEMARZO,13DE MARZO米白色毛绒大型毛绒玩具（门口）,门口展示区,b,1339629,-0.515,-5.527,0.488,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=-0.515&diry=-5.527&dirz=0.488
13DEMARZO,黑色皮革手提包,门口小桌子,b,1339629,-0.585,-5.817,0.536,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=-0.585&diry=-5.817&dirz=0.536
13DEMARZO,13DE MARZO白色毛绒装饰织物连帽卫衣,中央展台,l,1339629,0.48,-7.927,0.043,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=0.48&diry=-7.927&dirz=0.043
13DEMARZO,13DE MARZO米白色毛绒大型毛绒玩具（店内）,店内展台,r,1339629,2.433,-4.44,-0.191,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=2.433&diry=-4.44&dirz=-0.191
13DEMARZO,黑白毛绒熊猫玩具,墙面柱子层架,r,1339629,0.238,-4.509,0.74,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=0.238&diry=-4.509&dirz=0.74
13DEMARZO,13DE MARZO白色毛绒装饰织物外套（中央展台）,中央展台,l,1339629,0.77,-8.047,0.078,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=0.77&diry=-8.047&dirz=0.078
13DEMARZO,粉色织物短袖上衣,中央展台,l,1339629,0.921,-8.09,0.163,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=0.921&diry=-8.09&dirz=0.163
13DEMARZO,白色织物长袖上衣,中央展台,l,1339629,1.388,-8.145,0.246,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=1.388&diry=-8.145&dirz=0.246
13DEMARZO,浅紫色织物羽绒服,中央展台,l,1339629,1.638,-8.129,0.246,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339629&dirx=1.638&diry=-8.129&dirz=0.246
13DEMARZO,13DE MARZO红色棒球服（白色袖子带品牌字样）,墙面衣架（前视角）,f,1339630,4.676,-7.898,0.334,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=4.676&diry=-7.898&dirz=0.334
13DEMARZO,黑色复古皮革箱子,红色中央展台（后视角）,b,1339630,1.131,-7.464,0.51,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=1.131&diry=-7.464&dirz=0.51
13DEMARZO,13DE MARZO戴黑帽毛绒玩具熊,红色中央展台（后视角）,b,1339630,0.804,-8.372,-0.242,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=0.804&diry=-8.372&dirz=-0.242
13DEMARZO,13DE MARZO戴白帽毛绒玩具熊,红色中央展台（右视角）,r,1339630,1.858,-6.808,0.382,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=1.858&diry=-6.808&dirz=0.382
13DEMARZO,黑色织物卫衣,红色中央展台（右视角）,r,1339630,2.778,-6.575,0.382,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=2.778&diry=-6.575&dirz=0.382
13DEMARZO,黑色织物包,红色中央展台（右视角）,r,1339630,2.281,-6.642,0.268,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=2.281&diry=-6.642&dirz=0.268
13DEMARZO,米色毛绒熊头玩偶,地面（右视角）,r,1339630,3.322,-6.646,-0.167,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339630&dirx=3.322&diry=-6.646&dirz=-0.167
13DEMARZO,浅棕色毛绒戴帽玩偶,中央展台,b,1339631,0.853,-10.232,0.431,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339631&dirx=0.853&diry=-10.232&dirz=0.431
13DEMARZO,黑色织物带小熊装饰衣服,中央展台,b,1339631,0.853,-9.949,0.17,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339631&dirx=0.853&diry=-9.949&dirz=0.17
13DEMARZO,黑色织物带小熊装饰帽子,中央展台,r,1339631,1.647,-8.491,-0.379,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339631&dirx=1.647&diry=-8.491&dirz=-0.379
13DEMARZO,13DE MARZO黑色织物棒球帽,中央展台旁柱子,b,1339632,0.726,-12.117,0.05,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339632&dirx=0.726&diry=-12.117&dirz=0.05
13DEMARZO,13DE MARZO米色毛绒小熊造型座椅,地面中央,b,1339632,0.711,-11.569,-0.569,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339632&dirx=0.711&diry=-11.569&dirz=-0.569
13DEMARZO,13DE MARZO黑色织物卫衣,中央展台,b,1339632,0.851,-12.554,0.286,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339632&dirx=0.851&diry=-12.554&dirz=0.286
13DEMARZO,13DE MARZO白色毛绒小熊造型玩偶,中央展台,b,1339632,0.939,-12.738,0.495,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339632&dirx=0.939&diry=-12.738&dirz=0.495
13DEMARZO,13DE MARZO米色毛绒小熊造型玩偶,中央展台,b,1339632,0.954,-12.766,0.367,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339632&dirx=0.954&diry=-12.766&dirz=0.367
13DEMARZO,13DE MARZO黑色织物外套,人形模特,f,1339633,3.139,-13.256,0.592,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339633&dirx=3.139&diry=-13.256&dirz=0.592
13DEMARZO,13DE MARZO白色毛绒玩具熊,中央展台,b,1339633,-0.295,-11.208,0.529,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339633&dirx=-0.295&diry=-11.208&dirz=0.529
13DEMARZO,13DE MARZO黑色织物带熊装饰帽子,中央展台,b,1339633,-0.251,-11.133,-0.142,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339633&dirx=-0.251&diry=-11.133&dirz=-0.142
13DEMARZO,13DE MARZO蓝色织物围巾,中央展台,b,1339633,-0.145,-10.978,-0.069,https://vr.aibee.cn/store/8G9EN0maAHsqvbnV?pid=1339633&dirx=-0.145&diry=-10.978&dirz=-0.069
ACQUADIPARMA,Acqua di Parma透明玻璃香水瓶,中央展台,b,1336089,-8.547,3.691,-0.38,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336089&dirx=-8.547&diry=3.691&dirz=-0.38
ACQUADIPARMA,Acqua di Parma粉色瓶盖透明玻璃香水瓶,中央展台,b,1336089,-8.771,3.35,-1.104,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336089&dirx=-8.771&diry=3.35&dirz=-1.104
ACQUADIPARMA,Acqua di Parma蓝色玻璃香水瓶,入口圆形展台,r,1336089,-7.688,4.305,-0.36,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336089&dirx=-7.688&diry=4.305&dirz=-0.36
ACQUADIPARMA,Acqua di Parma黄色玻璃香水瓶,入口圆形展台,r,1336089,-7.904,4.21,-0.282,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336089&dirx=-7.904&diry=4.21&dirz=-0.282
ACQUADIPARMA,Acqua di Parma透明玻璃香水瓶,入口圆形展台,r,1336089,-8.33,3.918,-0.545,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336089&dirx=-8.33&diry=3.918&dirz=-0.545
ACQUADIPARMA,Acqua di Parma紫色带金点香薰罐,中央展台,r,1336079,-3.296,0.771,-0.771,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336079&dirx=-3.296&diry=0.771&dirz=-0.771
ACQUADIPARMA,红色花枝白色花瓶,中央展台,r,1336079,-3.363,0.814,0.043,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336079&dirx=-3.363&diry=0.814&dirz=0.043
ACQUADIPARMA,绿色小圣诞树装饰摆件,中央展台,r,1336079,-3.88,1.038,-0.678,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336079&dirx=-3.88&diry=1.038&dirz=-0.678
ACQUADIPARMA,蓝色玻璃香水瓶,中央展台,r,1336079,-4.002,1.067,-0.633,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336079&dirx=-4.002&diry=1.067&dirz=-0.633
ACQUADIPARMA,黑色玻璃香水瓶（棕色展台）,棕色展台,r,1336079,-4.064,1.079,0.469,https://vr.aibee.cn/store/O8mlHKnzTO2mbOmY?pid=1336079&dirx=-4.064&diry=1.079&dirz=0.469
